,x
1485_at,0.026550435
1486_at,0.041091604
1487_at,0.046664313
1488_at,-0.484954848
1489_s_at,0.024683872
149_at,0.09353713
1490_at,0.104086647
1491_at,-0.506712181
1492_f_at,0.003707632
1493_r_at,0.031069785
1494_f_at,0.004655669
1495_at,-0.209686261
1496_at,-0.035013996
1497_at,0.027381258
1498_at,-0.130235811
1499_at,0.018984855
150_at,0.072514962
1500_at,0.332615539
1501_at,0.190695461
1503_at,-0.016742648
1504_s_at,0.000721066
1505_at,0.047869557
1506_at,-0.035219013
1507_s_at,-0.025054748
1508_at,0.009820465
1509_at,0.048034144
151_s_at,-0.003986244
1510_g_at,-0.004959842
1511_at,-0.007534734
1512_at,0.05528615
1513_at,0.006301931
1514_g_at,0.064177647
1515_at,0.065820392
1516_g_at,0.064389033
1517_at,0.028672583
1518_at,-0.026691534
1519_at,-0.080227565
152_f_at,0.047148842
1520_s_at,-0.01323481
1521_at,0.072858587
1522_at,0.028528719
1523_g_at,-0.00153416
1524_at,-0.017676944
1525_s_at,0.048765323
1526_i_at,0.064753756
1527_s_at,-0.120964028
1528_at,0.026443459
1529_at,-0.026511495
153_f_at,0.311538586
1530_g_at,-0.016237228
1531_at,-0.00136608
1532_g_at,-0.016624054
1533_at,-0.010496393
1534_at,0.068749718
1535_at,-0.116975367
1536_at,0.075557466
1537_at,-0.175930143
1538_s_at,0.021670726
1539_at,-0.067714659
154_at,0.007999643
1540_f_at,0.018569037
1541_f_at,-0.00214768
1542_at,0.018700349
1543_at,0.040130277
1544_at,0.128156514
1545_g_at,-0.010014932
1546_at,-0.131559827
1547_at,0.004037391
1548_s_at,0.006462455
1549_s_at,0.021084548
155_s_at,-0.020306873
1550_at,0.090967652
1551_g_at,0.079102668
1552_i_at,-0.020566678
1553_r_at,0.018795935
1554_f_at,-0.011386732
1555_f_at,0.006852143
1556_at,0.020393512
1557_at,-0.127258519
1558_g_at,-0.241352146
1559_at,0.004423318
156_s_at,-0.0878408
1560_g_at,-0.092559159
1561_at,0.023215821
1562_g_at,0.001658707
1563_s_at,-0.114248796
1564_at,-0.034528836
1565_s_at,0.023513188
1566_at,-0.010102957
1567_at,0.00740348
1568_s_at,-0.012351103
1569_r_at,0.021748989
157_at,0.229979575
1570_f_at,-0.005460686
1571_f_at,-0.480602618
1572_s_at,-0.041357962
1573_at,-0.009697707
1574_s_at,0.023400789
1575_at,0.011701646
1576_g_at,-0.009157773
1577_at,-0.004056707
1578_g_at,0.013308325
1579_at,0.014531951
158_at,0.01095816
1580_f_at,5.21E-05
1581_s_at,-0.068047433
1582_at,-0.070898058
1583_at,0.189578897
1584_at,0.077260351
1585_at,-0.617102991
1586_at,-0.489531112
1587_at,-0.019453845
1588_at,-0.002649609
1589_s_at,-0.021557007
159_at,-0.32729215
1590_s_at,0.028629153
1591_s_at,-0.168426746
1592_at,-0.049219696
1593_at,0.069247524
1594_at,0.016458502
1595_at,-0.001810033
1596_g_at,-0.084488556
1597_at,-0.086229672
1598_g_at,-0.059272075
1599_at,-0.026867947
160_at,0.027772312
1600_at,0.041957072
160020_at,-0.032043821
160021_r_at,0.082564332
160022_at,0.008967645
160023_at,0.011300201
160024_at,0.024056305
160025_at,-0.151156025
160026_at,0.058627978
160027_s_at,0.021320279
160028_s_at,0.02914459
160029_at,0.323848549
160030_at,0.055578839
160031_at,-0.025624475
160032_at,-0.026630277
160033_s_at,0.011245558
160034_s_at,0.049971284
160035_at,0.035577472
160036_at,0.023766802
160037_at,-0.013753962
160038_s_at,0.000727113
160039_at,-0.001208454
160040_at,0.109415795
160041_at,0.04636057
160042_s_at,0.014508906
160043_at,-0.420061784
160044_g_at,0.050208756
1601_s_at,-0.022519401
1602_at,0.02726635
1603_g_at,-0.021856141
1604_at,0.0352235
1605_g_at,0.008733599
1606_at,-0.046698157
1607_at,0.008000513
1608_at,-0.017593077
1609_g_at,-0.144593219
161_at,0.082605123
1610_s_at,0.04156936
1611_s_at,0.001436102
1612_s_at,0.010076769
1613_s_at,-0.029291255
1614_s_at,-0.04828863
1615_at,0.00068259
1616_at,-0.082766286
1617_at,-0.004862067
1618_at,0.035206227
1619_g_at,-0.021590104
162_at,-0.059382756
1620_at,0.008009175
1621_at,0.080046601
1622_at,-0.055108274
1623_s_at,0.012756499
1624_at,-0.034578889
1625_at,0.054859257
1626_at,0.006982476
1627_at,-0.0173477
1628_at,0.006926123
1629_s_at,-0.162312237
163_at,0.009538625
1630_s_at,0.076204352
1631_at,0.033685512
1632_at,-0.00579672
1633_g_at,0.018994513
1634_s_at,0.042205714
1635_at,0.048911881
1636_g_at,0.04290744
1637_at,0.00871297
1638_at,0.007204165
1639_s_at,-0.029228583
164_at,-0.014619802
1640_at,0.014172233
1641_s_at,0.020104833
1642_at,-0.014812847
1643_g_at,-0.036352682
1644_at,0.088903195
1645_at,0.029213683
1646_at,0.008315355
1647_at,-0.092476735
1648_at,-0.498128738
1649_at,-0.063617455
165_g_at,0.067681816
1650_g_at,-0.046399
1651_at,-0.278263133
1652_at,0.013657992
1653_at,0.007677439
1654_at,0.077657563
1655_s_at,0.118444107
1656_s_at,-0.002976003
1657_at,0.130530008
1658_g_at,0.130852326
1659_s_at,0.040030239
166_at,0.00378449
1660_at,0.039405575
1661_i_at,0.006820505
1662_r_at,-0.02124222
1663_at,0.012746535
1664_at,-0.192706038
1665_s_at,0.005193749
1666_at,-0.018897548
1667_s_at,-0.003413468
1668_s_at,0.076015814
1669_at,-0.334762367
167_at,0.046925993
1670_at,-0.025736393
1671_s_at,-0.053326737
1672_f_at,-0.294405505
1673_at,-0.006584847
1674_at,0.061343023
1675_at,-0.15739608
1676_s_at,0.009129469
1677_at,-0.011511713
1678_g_at,-0.216356255
1679_at,0.032912329
168_at,0.103965549
1680_at,-0.014596892
1681_at,-0.00038025
1682_s_at,0.028177503
1683_at,0.008829112
1684_s_at,-0.007358625
1685_at,0.028199413
1686_g_at,0.014141515
1687_s_at,-0.010979978
1688_s_at,-0.011227667
1689_at,0.016406792
169_at,0.021266608
1690_at,0.030288472
1691_at,0.008823019
1692_s_at,0.01269977
1693_s_at,-0.037172835
1694_s_at,-0.007721783
1695_at,-0.016268971
1696_at,0.102531844
1697_s_at,-0.03938538
1698_g_at,-0.000574071
1699_at,0.036174365
170_at,0.000938002
1700_at,0.030332174
1701_at,-0.016726642
1702_at,0.071790061
1703_g_at,0.008857004
1704_at,-0.016337463
1705_s_at,0.012320611
1706_at,0.043412043
1707_g_at,0.00790582
1708_at,0.011603343
1709_g_at,0.040985017
171_at,0.102001781
1710_s_at,0.00191504
1711_at,0.012414176
1712_s_at,-0.017049729
1713_s_at,-0.212774057
1714_at,0.014694688
1715_at,-0.143027785
1716_at,0.000810503
1717_s_at,-0.333111481
1718_at,-0.084342228
1719_at,0.007651295
172_at,-0.010647834
1720_at,0.082297339
1721_g_at,0.081487786
1722_at,0.030872453
1723_g_at,-0.056227522
1724_at,0.015431709
1725_s_at,0.016607425
1726_at,0.022475607
1727_at,0.02255896
1728_at,0.065683481
1729_at,-0.012003768
173_at,-0.005835761
1730_s_at,0.035951603
1731_at,-0.182854316
1732_at,-0.105189763
1733_at,-0.088256691
1734_at,0.007123578
1735_g_at,-0.003747372
1736_at,-0.291360421
1737_s_at,-0.196033678
1738_at,0.024920018
1739_at,-0.022603401
174_s_at,0.054018049
1740_g_at,-0.001478242
1741_s_at,-0.294481591
1742_at,-0.016149143
1743_s_at,0.003730676
1744_at,0.026284848
1745_at,-0.014868003
1746_s_at,0.029129722
1747_at,0.00396319
1748_s_at,0.169811898
1749_at,0.042373458
175_s_at,0.071284014
1750_at,0.054348212
1751_g_at,0.092286264
1752_at,-0.066155791
1753_s_at,0.00221573
1754_at,0.013124239
1755_i_at,0.000915337
1756_f_at,0.01973629
1757_i_at,-0.01793662
1758_r_at,-0.015549982
1759_f_at,-0.006057836
176_at,0.072261433
1760_s_at,0.136929856
1761_at,-0.080666919
1762_at,0.003337846
1763_at,0.00728781
1764_s_at,-0.005466981
1765_at,0.016283504
1766_g_at,0.034962612
1767_s_at,-0.003361403
1768_s_at,0.013109116
1769_at,0.016840126
177_at,0.031597448
1770_at,0.07331056
1771_s_at,-0.053694283
1772_s_at,-0.028690609
1773_at,-0.016886631
1774_at,0.027802429
1775_at,0.008165439
1776_at,0.030572699
1777_at,-0.017830949
1778_g_at,-0.092079614
1779_s_at,0.191854841
178_f_at,0.055318483
1780_at,0.012300319
1781_at,0.007622194
1782_s_at,0.077869237
1783_at,-0.015275755
1784_s_at,0.024269237
1785_at,0.011594987
1786_at,-0.004886272
1787_at,-0.043191366
1788_s_at,-0.584539447
1789_at,0.090810206
179_at,-0.011280536
1790_s_at,-0.012784406
1791_s_at,0.035225067
1792_g_at,-0.015241531
1793_at,-0.034201839
1794_at,0.065084447
1795_g_at,0.088644894
1796_s_at,-0.018550526
1797_at,-0.044078142
1798_at,-0.430694065
1799_at,-0.009530034
180_at,0.015699761
1800_g_at,-0.001032252
1801_at,-0.043423488
1802_s_at,-0.064990636
1803_at,0.042258111
1804_at,0.014187925
1805_g_at,0.059440835
1806_at,0.00034461
1807_g_at,0.026018793
1808_s_at,0.029645728
1809_at,0.149732058
181_g_at,0.033540137
1810_s_at,0.000800862
1811_at,0.071241809
1812_s_at,-0.148472678
1813_at,-0.033467548
1814_at,-0.365033602
1815_g_at,-0.719445735
1816_at,-0.007473948
1817_at,0.043686506
1818_at,-0.025797716
1819_at,-0.052405305
182_at,-0.084041281
1820_g_at,-0.023889961
1821_at,0.067345914
1822_at,-0.058227068
1823_g_at,-0.012910258
1824_s_at,-0.044210607
1825_at,-0.079574716
1826_at,-0.133146116
1827_s_at,-0.040277764
1828_s_at,0.03422295
183_at,-0.013639133
1830_s_at,0.070212007
1831_at,-0.091701675
1832_at,-0.020799502
1833_at,-0.053037378
1834_at,-0.063530886
1836_at,-0.000693327
1837_at,0.023067599
1838_g_at,0.003598214
1839_at,0.043262725
184_at,0.009885173
1840_g_at,0.044088418
1841_s_at,0.014714977
1842_at,0.185836725
1843_at,0.091014263
1844_s_at,-0.042646274
1845_at,-0.016080732
1846_at,0.067802821
1847_s_at,-0.002436641
1848_at,0.017507207
1849_s_at,0.012023885
185_at,-0.015495984
1850_at,0.066271184
1851_s_at,0.024580104
1852_at,0.000875149
1853_at,0.034521442
1854_at,0.035319764
1855_at,0.018499276
1856_at,-0.029838986
1857_at,-0.234470799
1858_at,0.007330546
1859_s_at,0.003686875
186_at,-0.001130641
1860_at,0.109923445
1861_at,-0.042057319
1862_at,0.08032494
1863_s_at,0.007116248
1865_at,0.041651814
1866_g_at,-0.009772953
1867_at,0.013207171
1868_g_at,0.020365539
1869_at,0.006680888
187_at,-0.010147656
1870_at,-0.067378741
1871_g_at,-0.085908412
1872_at,0.171153319
1873_at,0.055193908
1874_at,-0.0285676
1875_f_at,0.041858637
1876_at,0.059099861
1877_g_at,0.06125242
1878_g_at,0.00794343
1879_at,-0.111512358
188_at,-0.00715862
1880_at,0.029246571
1881_at,0.148735819
1882_g_at,0.149721698
1883_s_at,0.027893623
1884_s_at,-0.03338529
1885_at,0.002266354
1886_at,0.012445346
1887_g_at,0.026886992
1888_s_at,-0.003619858
189_s_at,-0.067228639
1890_at,-0.006086409
1891_at,0.145162602
1892_s_at,0.061899585
1893_s_at,0.025530085
1894_f_at,-0.021293068
1895_at,-0.091208322
1896_s_at,-0.056115924
1897_at,0.074495038
1898_at,-0.110417246
1899_s_at,-0.021336372
